Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
GPS2		ENSG00000132522	"G protein pathway suppressor 2"	Q13227	17	7311324-7315564	"Cancer-related genes, Predicted intracellular proteins"	"Host-virus interaction, Transcription, Transcription regulation"	"Activator, Repressor"	"Cancer-related genes, Tumor suppressor"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Late spermatids: 258.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA067540	Approved		Supported	Nucleoplasm		NA	NA			"Cluster 31: Non-specific - Inflammatory response"	"Cluster 59: Non-specific - Translation"	"Cluster 49: Non-specific - Unknown function"	"Cluster 1: T-cells - Immune response"	Nucleoplasm		"HPA067540: AB_2685860"	"unprognostic (1.53e-2)"	"unprognostic (3.43e-1)"	"unprognostic (3.33e-2)"	"unprognostic (1.71e-3)"	"unprognostic (1.55e-1)"	"unprognostic (1.53e-4)"	"unprognostic (1.37e-2)"	"unprognostic (1.33e-1)"	"unprognostic (3.18e-2)"	"unprognostic (2.84e-1)"	"prognostic favorable (7.50e-5)"	"unprognostic (1.37e-2)"	"prognostic unfavorable (3.42e-5)"	"unprognostic (2.09e-1)"	"unprognostic (1.44e-1)"	"unprognostic (6.87e-2)"	"unprognostic (1.28e-3)"
GPX1		ENSG00000233276	"Glutathione peroxidase 1"	P07203	3	49357176-49358353	"Cancer-related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Oxidoreductase, Peroxidase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Hofbauer cells: 3735.0;Kupffer cells: 2302.2;Macrophages: 1734.7"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"dendritic cells: 1534.3;granulocytes: 1010.7;monocytes: 1337.0"	"Low cancer specificity"	"Detected in all"			"Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Lung - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB011582, HPA044758"	Approved		Supported	Cytosol		NA	NA		3100000	"Cluster 25: Monocytes - Inflammatory response"	"Cluster 15: Liver - Metabolism"	"Cluster 66: Myeloid cells - Innate immune response"	"Cluster 4: Platelets - Platelet activation"	Cytosol		"CAB011582: AB_2112120, HPA044758: AB_2679076"	"unprognostic (1.50e-2)"	"unprognostic (4.34e-3)"	"unprognostic (1.25e-1)"	"prognostic favorable (7.78e-4)"	"unprognostic (1.26e-1)"	"unprognostic (1.83e-1)"	"unprognostic (6.73e-3)"	"unprognostic (5.03e-2)"	"unprognostic (3.40e-2)"	"unprognostic (2.48e-1)"	"unprognostic (5.46e-2)"	"unprognostic (1.53e-1)"	"unprognostic (7.64e-3)"	"unprognostic (9.14e-3)"	"unprognostic (3.16e-2)"	"unprognostic (5.72e-3)"	"unprognostic (7.64e-3)"
GPX2	GSHPX-GI	ENSG00000176153	"Glutathione peroxidase 2"	P18283	14	64939152-64942905	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"		"Oxidoreductase, Peroxidase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"gallbladder: 497.7;intestine: 453.8;liver: 634.0;stomach 1: 374.6;urinary bladder: 350.5"	"Cell type enhanced"	"Detected in many"		"Cholangiocytes: 404.2;Distal enterocytes: 464.1;Gastric mucus-secreting cells: 917.0;Hepatocytes: 893.8;Paneth cells: 428.3;Squamous epithelial cells: 354.7;Undifferentiated cells: 552.1"	"Cancer enhanced"	"Detected in many"		"colorectal cancer: 493.1"	"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Gallbladder cancer: 1247.7"	"Colon - Colon enterocytes, Lung - Respiratory ciliated cells, Prostate - Urothelial cells, Stomach - Gastric mucous cells, Testis - Late spermatids"	"Region enhanced"	"Detected in single"		"pons and medulla: 1.2"	"Low region specificity"	"Detected in some"			HPA003545	Enhanced		Approved	Nucleoplasm,Cytosol		NA	NA		82000	"Cluster 48: NK-cells - Unknown function"	"Cluster 41: Intestine & Liver - Lipid metabolism"	"Cluster 61: Liver - Metabolism"	"Cluster 26: Intestinal epithelial cells - Absorption"	Nucleoplasm	Cytosol	"HPA003545: AB_10962695"	"unprognostic (3.54e-1)"	"unprognostic (1.08e-2)"	"unprognostic (1.51e-1)"	"unprognostic (1.90e-3)"	"unprognostic (4.75e-3)"	"prognostic unfavorable (5.10e-4)"	"unprognostic (2.96e-2)"	"unprognostic (2.93e-2)"	"unprognostic (7.87e-2)"	"unprognostic (1.54e-2)"	"unprognostic (8.45e-2)"	"unprognostic (1.44e-1)"	"unprognostic (2.77e-2)"	"unprognostic (4.39e-2)"	"unprognostic (3.39e-2)"	"unprognostic (6.66e-4)"	"unprognostic (1.73e-2)"
GRB10		ENSG00000106070	"Growth factor receptor bound protein 10"	Q13322	7	50590063-50793462	"Cancer-related genes, Predicted intracellular proteins"			"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Early spermatids: 91.0;Late spermatids: 237.9;Oligodendrocytes: 117.7;Rod photoreceptor cells: 97.8"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	13	"basophil: 10.0;eosinophil: 3.0"	"Lineage enriched"	"Detected in single"	28	"granulocytes: 10.0"	"Low cancer specificity"	"Detected in many"			"Heart muscle - Endothelial cells, Prostate - Endothelial cells, Skin - Endothelial cells, Thyroid - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"CAB019423, HPA027502, HPA031818"	Enhanced		Supported	Vesicles		NA	NA			"Cluster 46: Basophils - DNA binding"	"Cluster 54: Non-specific - Microtubule organization"	"Cluster 3: HUVEC & TIME - Signal transduction"	"Cluster 36: Spermatids - Spermatogenesis"	Vesicles		"CAB019423: AB_2112883, HPA027502: AB_10602325, HPA031818: AB_2674057"	"unprognostic (2.82e-2)"	"unprognostic (1.69e-3)"	"unprognostic (1.25e-2)"	"unprognostic (1.45e-2)"	"unprognostic (3.68e-2)"	"unprognostic (1.60e-1)"	"unprognostic (6.83e-2)"	"unprognostic (5.91e-3)"	"unprognostic (1.67e-2)"	"unprognostic (2.31e-3)"	"unprognostic (4.44e-1)"	"unprognostic (2.07e-1)"	"unprognostic (1.23e-3)"	"unprognostic (1.73e-3)"	"unprognostic (8.16e-3)"	"unprognostic (2.63e-2)"	"unprognostic (8.50e-2)"
GRB2	NCKAP2	ENSG00000177885	"Growth factor receptor bound protein 2"	P62993	17	75318076-75405709	"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"	"Host-virus interaction"		"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 391.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Macrophages, Adipose visceral - Macrophages, Colon - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB002589, HPA030749, HPA030750"	Approved		Supported	Nucleoplasm		NA	NA		400000	"Cluster 8: Neutrophils - Inflammatory response"	"Cluster 16: Immune cells - Immune response"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 33: Macrophages - Degranulation"	Nucleoplasm		"CAB002589: AB_10693935, HPA030749: AB_2673590, HPA030750: AB_2673591"	"unprognostic (4.83e-3)"	"unprognostic (1.85e-1)"	"unprognostic (1.14e-1)"	"unprognostic (3.42e-3)"	"unprognostic (1.70e-1)"	"unprognostic (2.06e-1)"	"prognostic unfavorable (6.04e-7)"	"unprognostic (1.01e-2)"	"unprognostic (2.73e-1)"	"unprognostic (1.80e-2)"	"unprognostic (1.06e-2)"	"unprognostic (1.89e-2)"	"unprognostic (1.08e-2)"	"unprognostic (8.13e-2)"	"unprognostic (3.40e-2)"	"unprognostic (1.56e-1)"	"unprognostic (1.58e-1)"
GRB7		ENSG00000141738	"Growth factor receptor bound protein 7"	Q14451	17	39737927-39747291	"Cancer-related genes, Predicted intracellular proteins"		"Repressor, RNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 60.2;kidney: 61.5"	"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 114.9;Squamous epithelial cells: 117.3;Syncytiotrophoblasts: 107.5"	"Low cancer specificity"	"Detected in many"			"Region enriched"	"Detected in single"	11	"cerebellum: 5.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"breast cancer: 165.0;Esophageal cancer: 159.3"	"Adipose visceral - Mesothelial cells, Colon - Colon enterocytes, Kidney - Endothelial cells"	"Region enhanced"	"Detected in many"		"cerebellum: 8.3"	"Low region specificity"	"Detected in many"			"CAB005226, HPA057084, CAB073538"	Approved		Supported	"Plasma membrane,Cytosol"		NA	NA				"Cluster 7: Kidney - Transmembrane transport"	"Cluster 65: Breast cancer - Unknown function"	"Cluster 22: Squamous epithelial cells - Keratinization"	"Plasma membrane, Cytosol"		"CAB005226: AB_2113278, CAB073538: , HPA057084: AB_2683330"	"unprognostic (8.46e-2)"	"unprognostic (2.06e-2)"	"unprognostic (1.45e-1)"	"prognostic unfavorable (6.60e-7)"	"unprognostic (7.06e-3)"	"unprognostic (2.09e-2)"	"unprognostic (1.02e-1)"	"unprognostic (1.85e-1)"	"unprognostic (2.02e-1)"	"prognostic unfavorable (3.10e-4)"	"prognostic unfavorable (6.90e-4)"	"unprognostic (2.59e-2)"	"prognostic favorable (8.23e-5)"	"unprognostic (1.83e-2)"	"unprognostic (4.77e-2)"	"unprognostic (5.49e-3)"	"unprognostic (4.01e-2)"
GRIN2A	"GluN2A, NMDAR2A"	ENSG00000183454	"Glutamate ionotropic receptor NMDA type subunit 2A"	Q12879	16	9753404-10182928	"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"	"Ion transport, Transport"	"Ion channel, Ligand-gated ion channel, Receptor"	"Cancer-related genes, Disease variant, Epilepsy, FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	10	"brain: 31.7"	"Group enriched"	"Detected in some"	13	"Excitatory neurons: 827.5;Inhibitory neurons: 882.2"	"Cancer enhanced"	"Detected in some"		"ovarian cancer: 0.9"	"Region enhanced"	"Detected in many"		"cerebral cortex: 31.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in single"			"Adipose subcutaneous - Smooth muscle cells, Heart muscle - Cardiomyocytes, Thyroid - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			CAB022725	Enhanced					NA	NA				"Cluster 10: Brain - Neuronal signaling"	"Cluster 7: Neuronal cell lines - Stereocilium"	"Cluster 32: Neurons - Synaptic function"			"CAB022725: "	"unprognostic (6.43e-2)"	"unprognostic (2.47e-1)"	"unprognostic (5.97e-2)"	"unprognostic (3.21e-2)"	"unprognostic (3.13e-2)"	"unprognostic (1.59e-2)"	"unprognostic (1.62e-1)"	"unprognostic (2.10e-1)"	"unprognostic (2.08e-1)"	"unprognostic (5.39e-2)"	"unprognostic (1.47e-1)"	"unprognostic (1.69e-1)"	"unprognostic (3.75e-3)"	"unprognostic (4.79e-3)"	"unprognostic (2.05e-1)"	"unprognostic (3.92e-3)"	"unprognostic (3.33e-2)"
GSK3A		ENSG00000105723	"Glycogen synthase kinase 3 alpha"	P49840	19	42226225-42242625	"Cancer-related genes, Enzymes, Predicted intracellular proteins"	"Carbohydrate metabolism, Glycogen metabolism, Neurogenesis, Wnt signaling pathway"	"Kinase, Serine/threonine-protein kinase, Signal transduction inhibitor, Transferase"	"Alzheimer disease, Cancer-related genes, Diabetes mellitus"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB004422, HPA006495, HPA028423"	Approved		Approved	Nucleoplasm,Cytosol		NA	NA			"Cluster 5: Granulocytes - Unknown function"	"Cluster 47: Non-specific - Unknown function"	"Cluster 4: Non-specific - Transcription"	"Cluster 16: Non-specific - RNA binding"	Nucleoplasm	Cytosol	"CAB004422: AB_627680, HPA006495: , HPA028423: AB_10612116"	"unprognostic (5.46e-2)"	"unprognostic (1.50e-1)"	"unprognostic (1.45e-1)"	"prognostic unfavorable (4.02e-4)"	"unprognostic (1.35e-1)"	"unprognostic (3.96e-2)"	"prognostic unfavorable (1.13e-4)"	"unprognostic (3.80e-3)"	"unprognostic (2.27e-1)"	"unprognostic (2.87e-1)"	"unprognostic (4.99e-2)"	"unprognostic (3.36e-1)"	"unprognostic (2.69e-1)"	"unprognostic (2.77e-2)"	"unprognostic (4.49e-2)"	"unprognostic (7.22e-2)"	"unprognostic (8.22e-3)"
GSN	DKFZp313L0718	ENSG00000148180	Gelsolin	P06396	9	121207794-121332843	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Cilium biogenesis/degradation"	"Actin capping, Actin-binding"	"Amyloidosis, Cancer-related genes, Corneal dystrophy, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 2486.9"	"Cell type enhanced"	"Detected in all"		"Adipocytes: 1480.6;Fibroblasts: 3739.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"eosinophil: 1135.9"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Breast - Adipocytes (Breast), Colon - Fibroblasts, Lung - Fibroblast_2, Skin - Fibroblast_2, Thyroid - Fibroblasts"	"Region enriched"	"Detected in all"	4	"white matter: 869.2"	"Low region specificity"	"Detected in all"			"CAB010823, CAB016728, CAB036009, HPA054026"	Supported		Supported	"Actin filaments"	"Secreted to blood"	NA	NA	112000000000	240000000000	"Cluster 45: Eosinophils - Innate immune response"	"Cluster 46: Fibroblasts - ECM organization"	"Cluster 22: Rhabdoid cancers - Neuronal signaling"	"Cluster 65: Fibroblasts - ECM organization"	"Actin filaments"		"CAB010823: , CAB016728: , CAB036009: , HPA054026: AB_2682347"	"unprognostic (3.25e-2)"	"unprognostic (4.44e-3)"	"unprognostic (1.22e-1)"	"unprognostic (3.10e-3)"	"unprognostic (4.23e-2)"	"unprognostic (4.85e-2)"	"unprognostic (1.21e-1)"	"unprognostic (1.49e-1)"	"unprognostic (1.22e-1)"	"unprognostic (1.20e-1)"	"unprognostic (6.54e-2)"	"unprognostic (6.56e-2)"	"unprognostic (3.06e-2)"	"unprognostic (8.01e-3)"	"unprognostic (4.98e-2)"	"unprognostic (1.23e-2)"	"prognostic unfavorable (1.79e-5)"
GSR		ENSG00000104687	"Glutathione-disulfide reductase"	P00390	8	30678066-30727846	"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"		Oxidoreductase	"Cancer-related genes, Disease variant, FDA approved drug targets, Hereditary hemolytic anemia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in all"		"basophil: 32.3"	"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose visceral - Macrophages, Stomach - Gastric mucous cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001538, CAB008632, HPA064806"	Approved		Supported	Cytosol		NA	NA		81000000	"Cluster 46: Basophils - DNA binding"	"Cluster 87: Intestine & Kidney - Transmembrane transport"	"Cluster 61: Liver - Metabolism"	"Cluster 26: Intestinal epithelial cells - Absorption"	Cytosol		"CAB008632: AB_1616690, HPA001538: AB_1078986, HPA064806: "	"unprognostic (1.23e-1)"	"prognostic favorable (3.37e-4)"	"prognostic favorable (4.08e-5)"	"unprognostic (2.89e-3)"	"unprognostic (1.62e-1)"	"unprognostic (3.50e-1)"	"prognostic unfavorable (3.26e-5)"	"unprognostic (3.61e-2)"	"unprognostic (1.01e-1)"	"unprognostic (4.15e-2)"	"unprognostic (2.83e-2)"	"unprognostic (6.92e-3)"	"prognostic favorable (1.80e-4)"	"unprognostic (2.31e-3)"	"unprognostic (2.26e-1)"	"unprognostic (1.01e-1)"	"unprognostic (1.29e-1)"
GSTM1	"GST1, H-B, MU"	ENSG00000134184	"Glutathione S-transferase mu 1"	P09488	1	109687814-109709039	"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"	"Lipid metabolism"	Transferase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 479.1;liver: 609.6"	"Cell type enhanced"	"Detected in many"		"granulocytes: 9.3;Melanocytes: 10.4;Thymic epithelial cells: 19.7"	"Cancer enhanced"	"Detected in all"		"urothelial cancer: 63.1"	"Region enriched"	"Detected in all"	18	"cerebral cortex: 479.1"	"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Bladder cancer: 94.9"		"Low region specificity"	"Detected in all"							"CAB022669, CAB047357, HPA048652, HPA055972, HPA055973"	Approved		Approved	"Cytokinetic bridge,Cytosol"		Yes	NA			"Cluster 28: Myeloid DCs - Unknown function"	"Cluster 85: Liver - Metabolism"	"Cluster 50: L-1236 & L-428 - Unknown function"	"Cluster 40: Plasma cells - Humoral immune response"	Cytosol	"Cytokinetic bridge"	"CAB022669: , CAB047357: , HPA048652: AB_2680478, HPA055972: AB_2682992, HPA055973: AB_2682993"	"unprognostic (2.22e-2)"	"unprognostic (5.35e-2)"	"unprognostic (3.87e-3)"	"unprognostic (3.20e-1)"	"unprognostic (4.95e-2)"	"unprognostic (1.03e-1)"	"unprognostic (3.56e-2)"	"unprognostic (1.81e-1)"	"unprognostic (2.41e-1)"	"unprognostic (6.55e-2)"	"unprognostic (2.34e-1)"	"unprognostic (3.45e-1)"	"unprognostic (3.17e-2)"	"unprognostic (2.12e-1)"	"unprognostic (1.36e-1)"	"unprognostic (2.18e-1)"	"unprognostic (4.72e-3)"
GSTM3	GST5	ENSG00000134202	"Glutathione S-transferase mu 3"	P21266	1	109733932-109741038	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins"		Transferase	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"testis: 377.9"	"Cell type enhanced"	"Detected in all"		"Basal prostatic cells: 1163.5;Early spermatids: 2028.3;Late spermatids: 4013.7;Spermatocytes: 989.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	4	"eosinophil: 3.4;gdT-cell: 3.1;memory CD4 T-cell: 3.9;memory CD8 T-cell: 2.2;naive CD4 T-cell: 7.8;naive CD8 T-cell: 4.3;T-reg: 1.9"	"Group enriched"	"Detected in many"	7	"granulocytes: 3.4;T-cells: 7.8"	"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			"CAB017130, HPA035190, CAB040583, HPA055972"	Enhanced		Approved	Cytosol		NA	NA		790000	"Cluster 32: T-cells - Unknown function"	"Cluster 68: Epididymis - Unknown function"	"Cluster 61: Liver - Metabolism"	"Cluster 70: Basal prostatic cells - Lipid metabolism"	Cytosol		"CAB017130: , CAB040583: , HPA035190: AB_10795023, HPA055972: AB_2682992"	"unprognostic (2.13e-2)"	"unprognostic (2.76e-2)"	"unprognostic (1.95e-1)"	"unprognostic (5.87e-2)"	"unprognostic (1.25e-1)"	"unprognostic (7.28e-2)"	"unprognostic (3.28e-3)"	"unprognostic (1.98e-1)"	"prognostic unfavorable (1.89e-4)"	"unprognostic (3.45e-1)"	"unprognostic (1.51e-1)"	"unprognostic (2.30e-1)"	"unprognostic (6.16e-3)"	"unprognostic (1.38e-2)"	"unprognostic (1.21e-2)"	"unprognostic (1.90e-2)"	"unprognostic (3.48e-2)"
