,SHAP_mean,Abundance_rank,Abundance_mean,Abundance_std,description,SHAP_rank,Group
P04083,0.01720150768261113,14.0,0.8293720918104462,0.015486335638125398,Annexin A1 ,108.0,HUVEC
P21266,0.015595634500955639,14.0,0.6025375631731602,0.09544076808231927,Glutathione S-transferase Mu 3 ,109.0,HUVEC
O00425,0.014761057184363177,13.0,0.8087540173533945,0.04896689734530497,Insulin-like growth factor 2 mRNA-binding protein 3 ,110.0,HUVEC
Q8TBX8,0.014174072671151769,11.0,0.5782021644293908,0.0653162474178556,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,111.0,HUVEC
Q07065,0.013948318717001243,15.0,0.9462401526474705,0.03033195651047397,Cytoskeleton-associated protein 4 ,112.0,HUVEC
Q9UGI8,0.012750865096125141,8.0,0.6116803301728206,0.1352222550216869,Testin ,113.0,HUVEC
Q10589,0.012499369894498211,10.0,0.5331079559665679,0.1805249183068271,Bone marrow stromal antigen 2 ,114.0,HUVEC
Q16658,0.012062874438921376,13.0,0.9202610563162601,0.02750996845382516,Fascin ,115.0,HUVEC
Q99584,0.011880935322767055,13.0,0.7280583639650914,0.04738491832906455,Protein S100-A13 ,116.0,HUVEC
Q96HQ2,0.01150563277428123,11.0,0.5383969973432365,0.1473566214259916,CDKN2AIP N-terminal-like protein ,117.0,HUVEC
Q15149,0.01117026820298492,7.0,0.4079860494367679,0.03495783015718989,Plectin ,118.0,HUVEC
P35998,0.01106056929899598,14.0,0.9393579169094292,0.025477558939117018,26S proteasome regulatory subunit 7 ,119.0,HUVEC
Q14247,0.010462456953377589,4.0,0.6918810011029145,0.049766627673039125,Src substrate cortactin ,120.0,HUVEC
P62877,0.00988528253100531,14.0,0.8061682212899429,0.08976818173290914,E3 ubiquitin-protein ligase RBX1 ,121.0,HUVEC
P11498,0.009788819027703191,9.0,0.5302571846935561,0.07321849233967552,"Pyruvate carboxylase, mitochondrial ",122.0,HUVEC
Q9UDT6,0.008940814693997382,4.0,0.3514498297862388,0.19209705709853783,CAP-Gly domain-containing linker protein 2 ,123.0,HUVEC
Q8TDZ2,0.008462379419726971,6.0,0.3481428271377124,0.22835319713675395,[F-actin]-monooxygenase MICAL1 ,124.0,HUVEC
Q16352,0.007784030665571271,8.0,0.3813511949831547,0.20103201226208461,Alpha-internexin ,125.0,HUVEC
Q9BZK3,0.006993599004486676,13.0,0.8349972659723036,0.021025856032127394,Putative nascent polypeptide-associated complex subunit alpha-like protein ,126.0,HUVEC
Q9UHD8,0.0068077884833858005,5.0,0.3548248954498706,0.13405908208010361,Septin-9 ,127.0,HUVEC
P32119,0.006547335216641491,11.0,0.6448485748761442,0.10268059539959387,Peroxiredoxin-2 ,128.0,HUVEC
P48735,0.004517969021804709,11.0,0.7451104136358557,0.08040122170552895,"Isocitrate dehydrogenase [NADP], mitochondrial ",129.0,HUVEC
P78417,0.0016532437840912663,12.0,0.7225813594921393,0.13959075896703305,Glutathione S-transferase omega-1 ,130.0,HUVEC
P15924,0.0014484029373874802,5.0,0.5473807481744822,0.13655463187869699,Desmoplakin ,131.0,HUVEC
O60701,0.0010814614051165685,13.0,0.6690210638364278,0.058959425892906626,UDP-glucose 6-dehydrogenase ,132.0,HUVEC
P07948,0.0003922424420184506,8.0,0.35443384697060154,0.24027205233070303,Tyrosine-protein kinase Lyn ,133.0,HUVEC
P80723,-0.0009587099659767381,7.0,0.6546671697741806,0.06583570754645206,Brain acid soluble protein 1 ,134.0,HUVEC
O95817,-0.0018716293319642277,11.0,0.6142541795050069,0.056321355193782174,BAG family molecular chaperone regulator 3 ,135.0,HUVEC
P30740,-0.003143898829141153,9.0,0.6057875375606987,0.015764716234363225,Leukocyte elastase inhibitor ,136.0,HUVEC
Q96DG6,-0.003312154067148715,8.0,0.550191289422276,0.2155685234643307,Carboxymethylenebutenolidase homolog ,137.0,HUVEC
P16144,-0.004670662426005489,8.0,0.36996272128551105,0.27555919290330705,Integrin beta-4 ,138.0,HUVEC
Q9NS86,-0.005292781530099328,12.0,0.4970978075419895,0.09876154460043997,LanC-like protein 2 ,139.0,HUVEC
A0MZ66,-0.005459488708915328,8.0,0.5792734758705184,0.054756087491672586,Shootin-1 ,140.0,HUVEC
P08670,-0.007135978191103606,7.0,0.6007616587734279,0.05610879758226684,Vimentin,141.0,HUVEC
P26006,-0.007414385388918743,8.0,0.38167185250011176,0.2652453564790615,Integrin alpha-3 ,142.0,HUVEC
P05091,-0.00747841680260595,12.0,0.6243653204795395,0.0647827406363824,"Aldehyde dehydrogenase, mitochondrial ",143.0,HUVEC
P12956,-0.011699974542150864,7.0,0.5273783798556242,0.038281314871659096,X-ray repair cross-complementing protein 6 ,144.0,HUVEC
Q08211,-0.01258358847516967,3.0,0.3578488086323849,0.048812191558490405,ATP-dependent RNA helicase A ,145.0,HUVEC
P00338,-0.01397469690434413,9.0,0.7399479657415297,0.024499795844235613,L-lactate dehydrogenase A chain ,146.0,HUVEC
Q9Y5V3,-0.0152039064251937,7.0,0.29943431887276883,0.27409550618222067,Melanoma-associated antigen D1 ,147.0,HUVEC
P09382,-0.018380371820208075,14.0,0.9731032355782782,0.06014299362176771,Galectin-1 ,148.0,HUVEC
Q96TA1,-0.01905121373764368,15.0,0.8322985489276642,0.08390474306875442,Protein Niban 2 ,149.0,HUVEC
P18206,-0.02022007842847983,13.0,0.8763007715654588,0.00973881099739591,Vinculin ,150.0,HUVEC
O43707,-0.020620223091062435,14.0,0.7725104016962548,0.02291612991585564,Alpha-actinin-4 ,151.0,HUVEC
P19367,-0.023216136671997716,14.0,0.8443544072285374,0.02941232074706602,Hexokinase-1 ,152.0,HUVEC
P50552,-0.024087884020431983,11.0,0.7570616282984846,0.12373254083399726,Vasodilator-stimulated phosphoprotein ,153.0,HUVEC
P17655,-0.024120551274998434,15.0,0.8811121454222455,0.052593600502643424,Calpain-2 catalytic subunit ,154.0,HUVEC
P12814,-0.028596946079363993,13.0,0.6762924122825243,0.04221358081836756,Alpha-actinin-1 ,155.0,HUVEC
P52594,-0.03172361900381411,10.0,0.6165249316007746,0.22598561025587724,Arf-GAP domain and FG repeat-containing protein 1 ,156.0,HUVEC
O00154,-0.036962261682122674,9.0,0.6100696604019691,0.07378918649969368,Cytosolic acyl coenzyme A thioester hydrolase ,157.0,HUVEC
Q9Y223,-0.037665778471279235,10.0,0.5616268768210361,0.18981849785981944,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,158.0,HUVEC
P20290,-0.038556646141172435,12.0,0.7760028293530128,0.10517678390277223,Transcription factor BTF3 ,159.0,HUVEC
P61978,-0.039999110632704324,10.0,0.5551937945692214,0.0994103614062908,Heterogeneous nuclear ribonucleoprotein K ,160.0,HUVEC
Q92820,-0.1450238564623963,14.0,0.8207826770182463,0.049481887873697165,Gamma-glutamyl hydrolase ,161.0,HUVEC
Q9Y5Z4,0.8371217871577904,1.0,0.2110186654044315,0.08854500844578536,Heme-binding protein 2 ,1.0,HeLa
P48735,0.7053226139248335,1.0,0.30917808494733584,0.1304529053298673,"Isocitrate dehydrogenase [NADP], mitochondrial ",2.0,HeLa
Q96DG6,0.5231877855141492,15.0,0.8670005210187797,0.06375078941956853,Carboxymethylenebutenolidase homolog ,3.0,HeLa
Q9Y5V3,0.4652109849858079,3.0,0.15666567891408367,0.06508749107483291,Melanoma-associated antigen D1 ,4.0,HeLa
P26447,0.4635790061487601,15.0,0.7652361202104663,0.09153303798293691,Protein S100-A4 ,5.0,HeLa
Q10589,0.4585037968412458,13.0,0.7474796387009625,0.16675629246479512,Bone marrow stromal antigen 2 ,6.0,HeLa
Q08J23,0.38919324646867776,15.0,0.8508349694515092,0.1195513683438942,RNA cytosine C,7.0,HeLa
O00154,0.370906037015369,2.0,0.27987898067352024,0.1538047497867994,Cytosolic acyl coenzyme A thioester hydrolase ,8.0,HeLa
Q8IVT2,0.3622125862666958,14.0,0.7566818489001723,0.19344248562574617,Mitotic interactor and substrate of PLK1 ,9.0,HeLa
P19367,0.3293717837593304,2.0,0.539972493347804,0.11951067858298542,Hexokinase-1 ,10.0,HeLa
P27105,0.3034629569945332,13.0,0.7710483460301285,0.1447764325158876,Stomatin ,11.0,HeLa
Q96HQ2,0.29463808234888184,4.0,0.30728078956888605,0.22070430064516794,CDKN2AIP N-terminal-like protein ,12.0,HeLa
Q14116,0.2931551288597764,12.0,0.7030027298790343,0.17848230562272824,Interleukin-18 ,13.0,HeLa
Q8TEM1,0.2859032745843082,13.0,0.7439573907916941,0.16896047697087604,Nuclear pore membrane glycoprotein 210 ,14.0,HeLa
O00592,0.27712723629384334,13.0,0.7501398172608994,0.14179573818923816,Podocalyxin ,15.0,HeLa
O43719,0.2575438663153113,14.0,0.7148502869985168,0.1819522593539058,HIV Tat-specific factor 1 ,16.0,HeLa
P48960,0.25422136565571135,11.0,0.7044869200510869,0.05800953186493755,Adhesion G protein-coupled receptor E5 ,17.0,HeLa
Q8TBX8,0.2228298209257253,3.0,0.23293542298436218,0.1767084342198811,Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma ,18.0,HeLa
O00754,0.22085905805216957,2.0,0.21861652127512243,0.11856074997698517,Lysosomal alpha-mannosidase ,19.0,HeLa
P50552,0.20858394166585556,3.0,0.40636955897669563,0.19227671098438343,Vasodilator-stimulated phosphoprotein ,20.0,HeLa
Q12965,0.2066766984351087,12.0,0.6398827281674137,0.1977155917251093,Unconventional myosin-Ie ,21.0,HeLa
P46821,0.19762338349877973,6.0,0.3215009803169228,0.23997146199829988,Microtubule-associated protein 1B ,22.0,HeLa
Q96RS6,0.1936732273210332,2.0,0.36640430446954037,0.1863799330675213,NudC domain-containing protein 1 ,23.0,HeLa
P43121,0.19187303589459215,13.0,0.6290084023239154,0.21432725296009533,Cell surface glycoprotein MUC18 ,24.0,HeLa
P35998,0.1857006418392656,1.0,0.44832493843898974,0.07755735934854605,26S proteasome regulatory subunit 7 ,25.0,HeLa
Q9BST9,0.17647965426454962,8.0,0.25814541803480273,0.20014297909217313,Rhotekin,26.0,HeLa
P11388,0.1759688682420384,15.0,0.8365394275694332,0.10096169873814893,DNA topoisomerase 2-alpha ,27.0,HeLa
P32004,0.17369445784329482,12.0,0.5555148887438958,0.3053833420179674,Neural cell adhesion molecule L1 ,28.0,HeLa
P11498,0.16623716188379686,13.0,0.708959806527577,0.11670413585300496,"Pyruvate carboxylase, mitochondrial ",29.0,HeLa
P49720,0.1647246728051344,3.0,0.25435964345132683,0.17658919702378212,Proteasome subunit beta type-3 ,30.0,HeLa
Q9NUQ3,0.1493799508058404,12.0,0.8005858797085371,0.12188045645040767,Gamma-taxilin ,31.0,HeLa
P30740,0.14887587406751895,12.0,0.7489895524141494,0.14676631402307566,Leukocyte elastase inhibitor ,32.0,HeLa
P29350,0.1435203342759631,2.0,0.2633489191009862,0.1289274769119451,Tyrosine-protein phosphatase non-receptor type 6 ,33.0,HeLa
Q01970,0.13824053315809973,7.0,0.4816877202467174,0.16256018309202447,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3 ",34.0,HeLa
P31146,0.1375687909469356,3.0,0.184954209883909,0.05855990321097086,Coronin-1A ,35.0,HeLa
Q9UGI8,0.13340986898553425,11.0,0.7017855682858883,0.10084218020694469,Testin ,36.0,HeLa
Q9UKN8,0.12833648030815523,13.0,0.6771314986989561,0.1458960349901485,General transcription factor 3C polypeptide 4 ,37.0,HeLa
P35580,0.1278468396744845,4.0,0.5642831103896833,0.18827875695099383,Myosin-10 ,38.0,HeLa
P40121,0.12228838106669924,11.0,0.5071036123467443,0.1628647018906664,Macrophage-capping protein ,39.0,HeLa
P30038,0.12003814882503362,3.0,0.2689846139547267,0.18830467275192628,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial ",40.0,HeLa
P19174,0.11414689611483993,6.0,0.38494613670501954,0.17611561236942458,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1 ",41.0,HeLa
Q9NZN4,0.11244220411837665,12.0,0.5600056145394298,0.2550421695468317,EH domain-containing protein 2 ,42.0,HeLa
Q14126,0.11222380940384465,14.0,0.7486247060143428,0.09321222258200065,Desmoglein-2 ,43.0,HeLa
Q7Z2K8,0.10865654933009213,3.0,0.26836255166102513,0.1655744728162946,G protein-regulated inducer of neurite outgrowth 1 ,44.0,HeLa
Q3KQU3,0.10586852089780531,4.0,0.42820651692662226,0.2163463798495457,MAP7 domain-containing protein 1 ,45.0,HeLa
P31947,0.1045859801569972,12.0,0.721851624286059,0.024963874492818155,14-3-3 protein sigma ,46.0,HeLa
Q8WUF5,0.09608387700134206,8.0,0.33404390945898915,0.21656355162603608,RelA-associated inhibitor ,47.0,HeLa
P46013,0.09406898581772323,14.0,0.790638929253396,0.18113882018028224,Proliferation marker protein Ki-67 ,48.0,HeLa
Q92820,0.0936665330391493,5.0,0.31404898065573705,0.15695975069410453,Gamma-glutamyl hydrolase ,49.0,HeLa
Q8TDZ2,0.09233147221939564,3.0,0.21959658788278247,0.1178291490235121,[F-actin]-monooxygenase MICAL1 ,50.0,HeLa
Q9Y5Q9,0.0848998865375676,5.0,0.23797749603257634,0.14688639965071817,General transcription factor 3C polypeptide 3 ,51.0,HeLa
P16403,0.08447677618922407,11.0,0.7216713535168465,0.11709795666950842,Histone H1.2 ,52.0,HeLa
Q08380,0.0841836560145327,4.0,0.38738823068095796,0.20069930658834373,Galectin-3-binding protein ,53.0,HeLa
Q9Y490,0.08342436186905929,2.0,0.5410490564859852,0.21379057349507394,Talin-1,54.0,HeLa
Q02952,0.08304039005492732,4.0,0.332320398646943,0.27488593266332717,A-kinase anchor protein 12 ,55.0,HeLa
Q16658,0.08111552141422619,9.0,0.822906346931689,0.09593593068195273,Fascin ,56.0,HeLa
Q9NU22,0.08006045153176276,14.0,0.5458307298893489,0.19263451450273786,Midasin ,57.0,HeLa
O43707,0.07818762829491117,3.0,0.41761493064894095,0.13750834704131168,Alpha-actinin-4 ,58.0,HeLa
Q9UJC3,0.07414864964865868,7.0,0.4613073317546256,0.15418129472261033,Protein Hook homolog 1 ,59.0,HeLa
Q15029,0.07379016156175672,14.0,0.6705688506128927,0.10898869371756982,116 kDa U5 small nuclear ribonucleoprotein component ,60.0,HeLa
Q16762,0.07002399123595383,7.0,0.36930127823958053,0.17419917929517867,Thiosulfate sulfurtransferase ,61.0,HeLa
Q6WKZ4,0.06956045331554156,6.0,0.22317622978832785,0.1340424479290987,Rab11 family-interacting protein 1 ,62.0,HeLa
P08670,0.06857666319220802,10.0,0.6338357336904029,0.07970950830916149,Vimentin,63.0,HeLa
P17655,0.0678312783230592,12.0,0.7198358835315485,0.11378166249086875,Calpain-2 catalytic subunit ,64.0,HeLa
Q9UIG0,0.06462480721680497,13.0,0.7173425019657197,0.22888520674502638,Tyrosine-protein kinase BAZ1B ,65.0,HeLa
P20290,0.06451276668313323,4.0,0.3961190258845219,0.24627028375950746,Transcription factor BTF3 ,66.0,HeLa
P05783,0.06424006685390643,13.0,0.5844002295281063,0.05901042742221598,"Keratin, type I cytoskeletal 18 ",67.0,HeLa
Q96CX2,0.06325451071107752,8.0,0.2909705306707943,0.22980155730161192,BTB/POZ domain-containing protein KCTD12 ,68.0,HeLa
O75828,0.06057874851538763,7.0,0.4093349192490925,0.1937460925569899,Carbonyl reductase [NADPH] 3 ,69.0,HeLa
P15924,0.06057230054047818,12.0,0.7599986696487505,0.1104710623414283,Desmoplakin ,70.0,HeLa
P05091,0.0594368943534723,4.0,0.40469913795420004,0.11335688575695799,"Aldehyde dehydrogenase, mitochondrial ",71.0,HeLa
P62805,0.057720969408573373,13.5,1.0,0.0,Histone H4,72.0,HeLa
Q9Y223,0.0571175904943391,3.0,0.28459448872598286,0.16586480031491524,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase ,73.0,HeLa
P29218,0.056615355346689426,11.0,0.49640950383036264,0.244135650545377,Inositol monophosphatase 1 ,74.0,HeLa
Q9HC35,0.05532880175465705,5.0,0.21050693063183354,0.13452445293627055,Echinoderm microtubule-associated protein-like 4 ,75.0,HeLa
P80723,0.05473380471657526,12.0,0.7288310237685404,0.20785168261613957,Brain acid soluble protein 1 ,76.0,HeLa
Q9BZK3,0.05106488772937167,4.0,0.4109300969415781,0.24130644973379817,Putative nascent polypeptide-associated complex subunit alpha-like protein ,77.0,HeLa
P20962,0.04631238611424083,7.0,0.4404605889185656,0.23132257114227334,Parathymosin,78.0,HeLa
Q99959,0.045501494273383465,7.0,0.36169948402789337,0.1940659061890683,Plakophilin-2,79.0,HeLa
Q8IVF2,0.04517681701934927,11.0,0.5427241627204448,0.13815252616943546,Protein AHNAK2,80.0,HeLa
Q9UHR4,0.045081181242676294,11.0,0.5694547684851984,0.2208683514857628,Brain-specific angiogenesis inhibitor 1-associated protein 2-like protein 1 ,81.0,HeLa
P17301,0.04335387689644719,10.0,0.41927781390740293,0.2959672903535739,Integrin alpha-2 ,82.0,HeLa
O75475,0.04183906929982861,12.0,0.8041271213940345,0.10039102387151218,PC4 and SFRS1-interacting protein ,83.0,HeLa
O60264,0.041427594135148835,14.0,0.8781915274708924,0.05693307658198057,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 ,84.0,HeLa
Q14151,0.03871898697116346,11.0,0.6799195868489499,0.08432872878867287,Scaffold attachment factor B2 ,85.0,HeLa
Q9UHD8,0.034902290307876505,3.0,0.3330736086484347,0.18767530242232386,Septin-9 ,86.0,HeLa
P21266,0.03327538593883653,10.0,0.4145594723741523,0.22218016454588632,Glutathione S-transferase Mu 3 ,87.0,HeLa
Q7L5N7,0.030631892167126622,5.0,0.25812200092511856,0.16485641671856105,Lysophosphatidylcholine acyltransferase 2 ,88.0,HeLa
Q6NZI2,0.030620046524520068,9.0,0.6456383295110164,0.12826976102114615,Caveolae-associated protein 1 ,89.0,HeLa
Q8NBS9,0.030250262529219935,6.0,0.4847500612459898,0.07952845261393326,Thioredoxin domain-containing protein 5 ,90.0,HeLa
Q9NZM1,0.030148178254388657,12.0,0.7267068736875205,0.0787929449990231,Myoferlin ,91.0,HeLa
Q99943,0.02931528670526266,5.0,0.29736973169234504,0.17320220739062014,1-acyl-sn-glycerol-3-phosphate acyltransferase alpha ,92.0,HeLa
P04083,0.02730388361358133,10.0,0.7542384006578974,0.06301037525733058,Annexin A1 ,93.0,HeLa
P29373,0.026049597507990584,7.0,0.37756971043499554,0.149929649224056,Cellular retinoic acid-binding protein 2 ,94.0,HeLa
Q16352,0.0239401617261404,13.0,0.545223701415778,0.09265014378349709,Alpha-internexin ,95.0,HeLa
P12814,0.023275582930887596,5.0,0.3252360525715565,0.19382331293207103,Alpha-actinin-1 ,96.0,HeLa
Q9BZQ8,0.023219355868592233,8.0,0.496282922323638,0.17770566815904823,Protein Niban 1 ,97.0,HeLa
P08648,0.023170122291483065,10.0,0.5108541511404402,0.17162610632391098,Integrin alpha-5 ,98.0,HeLa
Q8IYS1,0.022723925121188742,7.0,0.3510464765010053,0.1727002225861487,Peptidase M20 domain-containing protein 2 ,99.0,HeLa
P32119,0.020270002005243964,12.0,0.6622740702704258,0.1096101785756912,Peroxiredoxin-2 ,100.0,HeLa
P61978,0.01772486309389294,1.0,0.39430417184061667,0.19185183891877206,Heterogeneous nuclear ribonucleoprotein K ,101.0,HeLa
Q15459,0.01665829674809625,9.0,0.7115613734711225,0.046093242308209645,Splicing factor 3A subunit 1 ,102.0,HeLa
Q9NS86,0.015207110428193754,6.0,0.3278780106784716,0.14491375232850728,LanC-like protein 2 ,103.0,HeLa
P62877,0.0137700417062889,8.0,0.6953070046229325,0.10565193399870522,E3 ubiquitin-protein ligase RBX1 ,104.0,HeLa
P12956,0.013443442812885885,10.0,0.5618893187891717,0.1838151964934998,X-ray repair cross-complementing protein 6 ,105.0,HeLa
Q9UDT6,0.01338856686399003,3.0,0.3480494135952878,0.15278284952347623,CAP-Gly domain-containing linker protein 2 ,106.0,HeLa
P12270,0.011562008432679488,12.0,0.751881844031891,0.035645742873274155,Nucleoprotein TPR ,107.0,HeLa
P26006,0.010821123117584675,11.0,0.45847215958718374,0.2286653744576457,Integrin alpha-3 ,108.0,HeLa
P05787,0.009943212794089324,10.0,0.6414868085084566,0.06377764780258277,"Keratin, type II cytoskeletal 8 ",109.0,HeLa
P78527,0.009843614386569681,15.0,0.8897199623765276,0.0890758840609372,DNA-dependent protein kinase catalytic subunit ,110.0,HeLa
Q9Y446,0.009637865591833288,9.0,0.4824000322295241,0.2085529787046365,Plakophilin-3,111.0,HeLa
Q8NI08,0.009569874060116475,9.0,0.43475203736772094,0.2699942990931894,Nuclear receptor coactivator 7 ,112.0,HeLa
Q9NR30,0.009288130963272986,13.0,0.8934826290874739,0.029295747050178816,Nucleolar RNA helicase 2 ,113.0,HeLa
Q92922,0.009087660927285876,11.0,0.5473665563511371,0.18896013511724846,SWI/SNF complex subunit SMARCC1 ,114.0,HeLa
Q9UKK3,0.008808503540114568,8.0,0.4246136815442491,0.23906022922038925,Protein mono-ADP-ribosyltransferase PARP4 ,115.0,HeLa
P23246,0.008015829346012578,10.0,0.7314867134764432,0.12421528101493717,"Splicing factor, proline- and glutamine-rich ",116.0,HeLa
Q9NTX5,0.007867063842915146,8.0,0.4302009924853172,0.2302875190508667,Ethylmalonyl-CoA decarboxylase ,117.0,HeLa
Q96TA1,0.00786110351654653,8.0,0.7004116608963048,0.09547536899775477,Protein Niban 2 ,118.0,HeLa
Q8IWE2,0.0078030963639398225,8.0,0.43869494737228204,0.2398533118653704,Protein NOXP20 ,119.0,HeLa
Q14315,0.007568153637056766,7.0,0.47440650946976787,0.18929801552874995,Filamin-C ,120.0,HeLa
Q15393,0.005542523234154787,12.0,0.7617314542670394,0.040675962964985435,Splicing factor 3B subunit 3 ,121.0,HeLa
P14923,0.005000073646097484,6.0,0.5721428085803996,0.20825017554084815,Junction plakoglobin ,122.0,HeLa
Q53EP0,0.004054301473031446,7.0,0.39742969355518215,0.22587377587176088,Fibronectin type III domain-containing protein 3B ,123.0,HeLa
P07948,0.00402411737081349,9.0,0.4168781675880516,0.19179936457762656,Tyrosine-protein kinase Lyn ,124.0,HeLa
P48681,0.003898538751768668,5.0,0.43439188602479656,0.19414428524704724,Nestin,125.0,HeLa
Q15555,0.0034493755719823102,5.0,0.38578195121529174,0.19840455208902852,Microtubule-associated protein RP/EB family member 2 ,126.0,HeLa
